course_name,parent_platform,url,type,cost,cost_notes,language,hindi_available,primary_track,secondary_tracks,tier,est_hours,prerequisites,coverage_summary,quality_signal,last_verified_status
SQLBolt,SQLBolt,https://sqlbolt.com/,Interactive lessons,free,No fee for learning materials.,English,No,"5. Data literacy, spreadsheets, SQL & databases",,Newbie; Apprentice,8–15 h,None stated,"Teaches SQLBolt through structured lessons or projects covering data organization, spreadsheet analysis, SQL and database concepts.",Fast no-install SQL feedback,active/reachable; fetched September 2026
SQLZoo,SQLZoo,https://sqlzoo.net/wiki/SQL_Tutorial,Interactive practice,free,No fee for learning materials.,English; some translations,No,"5. Data literacy, spreadsheets, SQL & databases",,Apprentice,10–20 h,None stated,"Provides guided exercises or challenges centered on SQLZoo, building practical competence in data organization, spreadsheet analysis, SQL and database concepts.",Long-running graded SQL exercises,active/reachable; fetched September 2026
SQL Murder Mystery,SQL Murder Mystery,https://mystery.knightlab.com/,Practice game,free,free/open source.,English,No,"5. Data literacy, spreadsheets, SQL & databases",,Apprentice,3–6 h,None stated,"Provides guided exercises or challenges centered on SQL Murder Mystery, building practical competence in data organization, spreadsheet analysis, SQL and database concepts.",Northwestern Knight Lab narrative SQL practice,active/reachable; fetched September 2026
PGExercises,PGExercises,https://pgexercises.com/,Practice platform,free,No fee for learning materials.,English,No,"5. Data literacy, spreadsheets, SQL & databases",,Apprentice; Adept,15–30 h,None stated,"Provides guided exercises or challenges centered on PGExercises, building practical competence in data organization, spreadsheet analysis, SQL and database concepts.",PostgreSQL exercises with solutions,active/reachable; fetched September 2026
PostgreSQL Tutorial,PostgreSQL Tutorial,https://www.postgresql.org/docs/current/tutorial.html,Official documentation,free,free/open source.,English,No,"5. Data literacy, spreadsheets, SQL & databases",,Apprentice; Adept,20–40 h,None stated,"Explains PostgreSQL Tutorial as a structured learning reference for data organization, spreadsheet analysis, SQL and database concepts, with examples suitable for self-study.",Authoritative current PostgreSQL tutorial,active/reachable; fetched September 2026
Mode SQL Tutorial,Mode SQL Tutorial,https://mode.com/sql-tutorial/,Tutorial,free,No fee for learning materials.,English,No,"5. Data literacy, spreadsheets, SQL & databases",,Apprentice; Adept,20–40 h,None stated,"Teaches Mode SQL Tutorial through structured lessons or projects covering data organization, spreadsheet analysis, SQL and database concepts.",Analytics-oriented SQL examples,active/reachable; fetched September 2026
HackerRank SQL,HackerRank SQL,https://www.hackerrank.com/domains/sql,Practice,freemium,freemium: core challenges free.,English,No,"5. Data literacy, spreadsheets, SQL & databases",,Apprentice; Adept,30–100 h,None stated,"Provides guided exercises or challenges centered on HackerRank SQL, building practical competence in data organization, spreadsheet analysis, SQL and database concepts.",Large graded practice bank,active/reachable; fetched September 2026
Oracle Dev Gym SQL,Oracle Dev Gym SQL,https://devgym.oracle.com/,Course/practice,free-with-account,free account.,English,No,"5. Data literacy, spreadsheets, SQL & databases",,Apprentice; Adept,30–80 h,None stated,"Provides guided exercises or challenges centered on Oracle Dev Gym SQL, building practical competence in data organization, spreadsheet analysis, SQL and database concepts.",Oracle-backed classes and quizzes,active/reachable; fetched September 2026
Data Carpentry Spreadsheets,Data Carpentry Spreadsheets,https://datacarpentry.org/spreadsheets-socialsci/,Lesson,free,free/open lesson.,English; translate,No,"5. Data literacy, spreadsheets, SQL & databases",,Newbie; Apprentice,4–8 h,None stated,"Teaches Data Carpentry Spreadsheets through structured lessons or projects covering data organization, spreadsheet analysis, SQL and database concepts.",Carpentries data-quality pedagogy,active/reachable; fetched September 2026
SQLite Tutorial,SQLite Tutorial,https://www.sqlite.org/quickstart.html,Documentation,free,free/open source.,English,No,"5. Data literacy, spreadsheets, SQL & databases",,Apprentice,4–10 h,None stated,"Explains SQLite Tutorial as a structured learning reference for data organization, spreadsheet analysis, SQL and database concepts, with examples suitable for self-study.",Official embedded database quickstart,active/reachable; fetched September 2026
Database Design 2nd Edition,Database Design 2nd Edition,https://opentextbc.ca/dbdesign01/,Open textbook,free,free/open textbook.,English,No,"5. Data literacy, spreadsheets, SQL & databases",,Apprentice; Adept,50–80 h,None stated,"Explains Database Design 2nd Edition as a structured learning reference for data organization, spreadsheet analysis, SQL and database concepts, with examples suitable for self-study.",BCcampus open text,active/reachable; fetched September 2026
pandas Cheat Sheet,pandas Cheat Sheet,https://pandas.pydata.org/Pandas_Cheat_Sheet.pdf,Cheat sheet,free,No fee for learning materials.,English; visual,No,"5. Data literacy, spreadsheets, SQL & databases",,Apprentice; Adept,ongoing,None stated,"Teaches pandas Cheat Sheet through structured lessons or projects covering data organization, spreadsheet analysis, SQL and database concepts.",Official pandas quick reference,active/reachable; fetched September 2026
data.gov.in,data.gov.in,https://www.data.gov.in/,Dataset portal,free,free; dataset licences vary.,English/Hindi metadata varies,Yes,"5. Data literacy, spreadsheets, SQL & databases",,All tiers,project-based,None stated,"Organizes lessons and learning resources for data organization, spreadsheet analysis, SQL and database concepts; use the linked course or playlist sequence rather than treating the hub as one lesson.",Official India OGD; local relevance,active/reachable; fetched September 2026
CS50SQL,CS50SQL,https://cs50.harvard.edu/sql/,Course/projects,free,free; optional paid edX verification.,English; subtitles,No,"5. Data literacy, spreadsheets, SQL & databases",,Apprentice; Adept,60–120 h,None stated,"Teaches CS50SQL through structured lessons or projects covering data organization, spreadsheet analysis, SQL and database concepts.",Harvard relational database course,active/reachable; fetched September 2026
Stanford Databases archive,Stanford Databases archive,https://online.stanford.edu/courses/soe-ydatabases-databases,University course materials,free,free course access may vary; archived materials available.,English,No,"5. Data literacy, spreadsheets, SQL & databases",,Adept,80–120 h,None stated,"Teaches Stanford Databases archive through structured lessons or projects covering data organization, spreadsheet analysis, SQL and database concepts.",Stanford institutional database curriculum; enrolment status flagged,active/reachable; fetched September 2026
NPTEL Database Management System,NPTEL Database Management System,https://nptel.ac.in/courses/106105175,Course materials,free-to-audit,free learning; optional certificate exam paid/term-dependent.,English; subtitles,No,"5. Data literacy, spreadsheets, SQL & databases",,Apprentice; Adept,40–60 h,None stated,"Teaches NPTEL Database Management System through structured lessons or projects covering data organization, spreadsheet analysis, SQL and database concepts.",IIT Kharagpur/NPTEL specific course,active/reachable; fetched September 2026
Kaggle Learn,Kaggle Learn,https://www.kaggle.com/learn,Micro-course library,free,No fee for learning materials.,English,No,"6. Data science, analytics & statistics",,Apprentice; Adept,40–100 h,None stated,"Organizes lessons and learning resources for statistics, analysis, visualization and evidence-based work with data; use the linked course or playlist sequence rather than treating the hub as one lesson.","Hands-on pandas, visualisation, ML and SQL",active/reachable; fetched September 2026
